Temperatura_Media	Ano	Mes
24.4892	1969	8
26.0324	1969	9
25.7328	1969	10
26.4031	1969	11
25.5217	1969	12
25.8235	1970	1
25.8803	1970	2
25.7104	1970	3
25.482	1970	4
24.8032	1970	5
23.9641	1970	6
23.3154	1970	7
24.302	1970	8
25.2184	1970	9
26.0009	1970	10
25.7106	1970	11
26.2275	1970	12
25.65	1971	1
25.1997	1971	2
25.2421	1971	3
24.3679	1971	4
23.4862	1971	5
22.5239	1971	6
22.9739	1971	7
23.7331	1971	8
24.8674	1971	9
24.8062	1971	10
25.0692	1971	11
25.7409	1971	12
25.1321	1972	1
25.092	1972	2
25.4093	1972	3
24.4208	1972	4
24.4242	1972	5
24.1038	1972	6
23.4838	1972	7
24.1033	1972	8
25.1884	1972	9
25.7522	1972	10
26.0828	1972	11
26.1751	1972	12
26.4046	1973	1
26.186	1973	2
26.058	1973	3
25.8386	1973	4
24.1645	1973	5
23.9274	1973	6
22.8199	1973	7
23.8331	1973	8
24.808	1973	9
25.8328	1973	10
25.467	1973	11
25.526	1973	12
25.2625	1974	1
25.2838	1974	2
24.7862	1974	3
24.6113	1974	4
23.7174	1974	5
22.9502	1974	6
22.6928	1974	7
23.8618	1974	8
24.7572	1974	9
25.1007	1974	10
25.3135	1974	11
24.8948	1974	12
24.9917	1975	1
25.2376	1975	2
25.1288	1975	3
24.5984	1975	4
23.7032	1975	5
23.1467	1975	6
22.2127	1975	7
23.9258	1975	8
25.1857	1975	9
25.3142	1975	10
25.2568	1975	11
25.2441	1975	12
25.1891	1976	1
24.9489	1976	2
24.8034	1976	3
24.4259	1976	4
23.7212	1976	5
22.6525	1976	6
22.8773	1976	7
24.2182	1976	8
24.5391	1976	9
25.2858	1976	10
25.1953	1976	11
25.5299	1976	12
25.4591	1977	1
25.4201	1977	2
25.5686	1977	3
24.6545	1977	4
23.5454	1977	5
23.2764	1977	6
24.0704	1977	7
24.2641	1977	8
25.1133	1977	9
25.5464	1977	10
25.5913	1977	11
25.5807	1977	12
25.597	1978	1
25.7917	1978	2
25.3984	1978	3
24.7909	1978	4
23.8199	1978	5
22.9206	1978	6
23.6541	1978	7
23.2488	1978	8
24.7175	1978	9
25.5933	1978	10
25.6096	1978	11
25.6339	1978	12
25.1189	1979	1
25.5971	1979	2
25.2542	1979	3
24.8358	1979	4
24.2006	1979	5
22.505	1979	6
23.0093	1979	7
24.6077	1979	8
24.7264	1979	9
25.9264	1979	10
25.5502	1979	11
25.623	1979	12
25.3686	1980	1
25.6191	1980	2
25.6312	1980	3
25.2092	1980	4
24.5997	1980	5
23.3169	1980	6
23.4913	1980	7
24.1898	1980	8
24.5589	1980	9
25.6869	1980	10
25.3313	1980	11
25.7122	1980	12
25.416	1981	1
25.6149	1981	2
25.5471	1981	3
25.1613	1981	4
24.5317	1981	5
22.7832	1981	6
22.2528	1981	7
23.9018	1981	8
24.5159	1981	9
25.2031	1981	10
25.6243	1981	11
25.7621	1981	12
25.2681	1982	1
25.5616	1982	2
25.4257	1982	3
24.7141	1982	4
